"Year","Month","Day","Time","End Year","End Month","End Day","End Time","Display Date","Headline","Text","Media","Media Credit","Media Caption","Media Thumbnail","Type","Group","Background","Tag"
2022,10,22,,2022,11,26,,"2022 Paro del Censo","Paro cívico de Santa Cruz por el Censo (36 días)","Entre el 22 de octubre y el 26 de noviembre 2022, el Comité Pro Santa Cruz lidera un paro cívico de 36 días exigiendo que el Censo Nacional de Población y Vivienda se realice en 2023 (no en 2024) para ajustar la distribución de coparticipación tributaria y escaños. El paro paraliza el 60% del PIB agroindustrial nacional (soya, girasol, carne, azúcar) en plena zafra. Pérdidas estimadas: USD 1.200-1.800 M según CAO/IBCE. El gobierno Arce cede parcialmente (Ley 1492 de 28/XI/2022 convoca censo para 23/03/2024). Hito externo con impacto observable en la serie de PIB agro 2022 y en el deterioro de la relación gobierno-agronegocio cruceño. Para el APER es clave para el capítulo de contexto político-territorial. Fuente: INE/CAO/El Deber 26-XI-2022.","media/anez_arce_2019_2025/hito_51.jpg","Wikimedia Commons","Plaza 24 de Septiembre, Santa Cruz de la Sierra",,"","Eventos","#B22222","paro_censo|santa_cruz|agronegocio"
2023,1,1,,2023,12,31,,"2023","Crisis de divisas y dólar paralelo","Desde febrero 2023 el BCB suspende la venta directa de dólares al público y Bolivia ingresa en un régimen de escasez estructural de divisas. Las Reservas Internacionales Netas caen de USD 15.495 M (2014) a menos de USD 2.000 M líquidos (2023) según BCB/MEFP Informe Fiscal 2023. El tipo de cambio oficial se mantiene en Bs 6,96/USD pero el mercado paralelo llega a Bs 10-13/USD (2024-2025). Impacto agropecuario: encarecimiento de insumos importados (fertilizantes, agroquímicos, maquinaria), contracción de la importación de diésel para siembra/cosecha, y distorsión de precios relativos que desincentiva exportación por canales oficiales. Para el APER es la variable macro dominante del bienio 2023-2024 y explica parte de la baja ejecución de programas con componente importado (maquinaria, semillas, pozos). Fuente: MEFP Informe Fiscal 2023; Boletín SIP dic-2023; BCB.","media/anez_arce_2019_2025/hito_52.jpg","Wikimedia Commons","Banco Central de Bolivia, La Paz",,"era","Externo","#B22222","divisas|RIN|dolar_paralelo"
2023,3,1,,2023,10,31,,"2023 Sequía","Sequía severa 2023 en el Altiplano y Chaco","El ciclo 2022-2023 es clasificado por SENAMHI como evento de sequía severa El Niño, con déficit de lluvia >50% en Chaco, Valles y Altiplano sur. Pérdidas en papa, quinua, maíz, trigo y ganadería estimadas por MDRyT/INE en >USD 500 M. Defensa Civil declara emergencia en 72 municipios. Para la APER se refleja en la caída del rendimiento de cultivos andinos 2023 y en la ampliación presupuestaria del Programa de Perforación de Pozos (""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Nuestro Pozo"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""") que en 2024 se duplica en presupuesto vigente (de Bs 60M a Bs 110M, RPC Final 2024 p.6). Refuerza además la demanda de riego tecnificado canalizada por ACCESOS RURAL/FIDA. Fuente: SENAMHI; MDRyT; INE — Encuesta Agrícola Nacional 2023.","media/anez_arce_2019_2025/hito_53.jpg","Wikimedia Commons","Altiplano boliviano en época seca (ilustrativo)",,"","Externo","#B22222","sequia|nino|altiplano"
2023,6,30,,,,,,"","Política de Biocombustibles — planta El Alto","En 2022 se emite el DS 4760 (política de biocombustibles, antecedida por la Ley 1098/2018) que autoriza mezcla de etanol y biodiésel con combustibles fósiles y posterior producción estatal. En junio-2023 YPFB inaugura la planta de biodiésel El Alto fase I (capacidad 1.500 bpd), alimentada con aceite de soya y otras oleaginosas. Se anuncia expansión a partir de palma y piñón. La política es controvertida: (i) CAO advierte competencia por grano entre alimento y combustible; (ii) organizaciones ambientales advierten presión expansiva sobre frontera agrícola en Santa Cruz y Beni; (iii) el costo fiscal es significativo vía subsidios. Para APER es hito clave del eje energía-agro y explica parte de la política de oleíferas (Bs 402,7 M programados en 2024, ejec. 34% — RPC Final 2024).","media/anez_arce_2019_2025/hito_54.jpg","YPFB / Wikimedia Commons","Instalaciones YPFB (ilustrativo)",,"","Programas","#1E4D8A","biodiesel|YPFB|oleiferas"
2023,12,28,,,,,,"","Ley 1546 — Presupuesto 2024","El 28 de diciembre 2023 se promulga la Ley Financial N° 1546 del Presupuesto General del Estado 2024. Para el MDRyT asigna Bs 1.539,41 M iniciales, distribuidos entre Administración Central, EMPODERAR, IPD-PACU, IPD-SA, PROCAMELIDOS, Nuestro Pozo, FONADIN, ACCESOS RURAL, PROCAMQUI y SENASAG (RPC Final 2024 p.6). El presupuesto marca el mayor nivel nominal de la serie reciente, aunque en términos reales (ajustado por inflación y TC paralelo) representa pérdida respecto al inicio del ciclo Arce. Es el anclaje fiscal del último año completo pre-electoral. Fuente primaria: Ley 1546/2023, Gaceta Oficial; RPC Final MDRyT 2024.","media/anez_arce_2019_2025/hito_55.jpg","Wikimedia Commons","Asamblea Legislativa, La Paz",,"","Leyes","#1E4D8A","Ley_1546|PGE_2024|MDRyT"
2024,1,1,,2024,12,31,,"2024","Escasez de combustibles — impacto en siembra/cosecha","A lo largo de 2024, YPFB reporta escasez estructural de diésel y gasolina por limitaciones de divisas para importación. Filas de hasta 48h en estaciones, racionamiento por placa, desabastecimiento crónico en ciudades intermedias. Impacto agropecuario directo: atraso en siembra de soya verano (SCZ), alza de 30-50% en fletes rurales, reducción de área sembrada (ANAPO estima -10% campaña verano 2024/25). Combina con crisis de divisas y afecta ejecución de programas con componente logístico (pozos, riego, caminos vecinales). Fuente: YPFB; MEFP Informe Fiscal 2024; El Deber-ANAPO reportes sectoriales 2024.","media/anez_arce_2019_2025/hito_56.png","Wikimedia Commons","Estación de servicio YPFB (ilustrativo)",,"era","Externo","#B22222","combustibles|diesel|escasez|YPFB"
2024,3,23,,,,,,"","Censo Nacional 2024","El 23 de marzo 2024 el INE ejecuta el Censo Nacional de Población y Vivienda, con cuestionario agropecuario simplificado. Los resultados preliminares (agosto 2024) revelan una población total de 11,31 millones y cambios en la distribución territorial con crecimiento relativo de Santa Cruz, Pando y Cochabamba, y estancamiento en Potosí, Oruro y Chuquisaca. Hito clave para el APER porque (i) actualiza denominadores demográficos del panel v10, (ii) informa la próxima distribución de coparticipación tributaria (Pacto Fiscal pendiente), (iii) facilita redefinición de la cobertura de programas rurales. Fuente: INE — Censo 2024 Resultados Preliminares.","media/anez_arce_2019_2025/hito_57.jpg","INE Bolivia","Logo Instituto Nacional de Estadística",,"","Institucional","#1E4D8A","censo_2024|INE|demografia"
2024,8,1,,2024,10,31,,"2024 Incendios","Incendios forestales masivos — 10 M ha quemadas","Entre agosto y octubre 2024 Bolivia enfrenta la peor temporada de incendios de su historia reciente. Datos ABT/INRA/MMAyA y monitoreo satelital (INPE-MAAP, Global Forest Watch) estiman >10 millones de hectáreas quemadas, >50% en el departamento de Santa Cruz (Chiquitania, Bosque Seco). Fundación TIERRA documenta expansión del frente agropecuario y quema ligada a chaqueo ilegal. El gobierno emite DS 5225 (agosto 2024) que suspende temporalmente autorizaciones de desmonte y quemas controladas en áreas críticas, y en diciembre se discute la abrogación de las """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""leyes incendiarias"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" (Ley 337, 502, 739, 741, 1171 y DS 3973 y 4232). Impacto agropecuario: pérdidas en ganadería (Beni-SCZ), daños a cultivos, emisión masiva de GEI, crisis sanitaria. Para APER es el evento ambiental-político dominante del último año del ciclo Arce y empata con la agenda de titulación INRA post-incendios.","media/anez_arce_2019_2025/hito_58.jpg","Wikimedia Commons","Incendios en la Chiquitania, Bolivia (imagen de archivo 2019)",,"","Externo","#8B0000","incendios|chiquitania|ABT|INRA"
2024,12,31,,,,,,"","RPC MDRyT 2024 — ejecución física 54%, financiera 74%","Al cierre fiscal 2024 el MDRyT reporta ejecución financiera consolidada del 74% y física del 54% (RPC Final 2024, p.11). El presupuesto vigente asciende a ~Bs 1.684 M con cambios de MAE en el año (Gonzales → Condori → Flores). Desempeño heterogéneo: Nuestro Pozo 89%/89%, Cacao 99%/97%, Camélidos 100%/96% vs. PAR III 60%/16%, Oleíferas 20%/34%, Apícola 32%/26%, ACCESOS RURAL 31%/20%. La baja ejecución financiera de PAR III (16%) es el hallazgo crítico: señala problemas de absorción del principal préstamo BM del ciclo. Para el APER este cierre es línea base clave (Cap. 3 y 4) y evidencia empírica de la fragmentación de la cartera.","media/anez_arce_2019_2025/hito_59.jpg","MDRyT","RPC Final MDRyT 2024 (PDF oficial)",,"","Institucional","#1E4D8A","MDRyT|RPC|ejecucion|PAR_III"
2025,8,17,,,,,,"","Elecciones generales 2025 — primera vuelta","El 17 de agosto 2025 se celebran elecciones generales. Tras la implosión del MAS (ruptura Arce-Evo) el resultado de primera vuelta ubica a Rodrigo Paz Pereira (PDC) y Jorge """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""Tuto"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" Quiroga (Alianza Libre) como los candidatos más votados, con el MAS reducido a una fracción marginal. Se confirma la necesidad de segunda vuelta (balotaje). Es la primera elección desde 2002 donde MAS-IPSP no compite por la presidencia como primera fuerza. Hito que marca el fin del ciclo político de 19 años del MAS (2006-2025) y abre un escenario de reconfiguración sectorial. Para APER contextualiza el documento como insumo de transición.","media/anez_arce_2019_2025/hito_60.jpg","Wikimedia Commons","Bandera del Estado Plurinacional de Bolivia",,"","Eventos","#1E4D8A","elecciones_2025|fin_MAS|transicion"
2025,10,19,,,,,,"","Balotaje 2025 — nuevo gobierno","El 19 de octubre 2025 se celebra la segunda vuelta presidencial. El ganador del balotaje (Paz Pereira / Quiroga según resultado oficial TSE) asume la Presidencia el 8 de noviembre 2025. El cambio de gobierno implica transición administrativa del MDRyT, revisión de convenios con BM/FIDA (PAR III, ACCESOS), definición de política de biocombustibles y posible ajuste del régimen cambiario. Hito terminal del período APER 2019-2025 y apertura del nuevo ciclo que el documento buscará influir con recomendaciones. Fuente: TSE Bolivia — Resultados oficiales; La Razón/El Deber.","media/anez_arce_2019_2025/hito_61.png","Wikimedia Commons","Bandera del Estado Plurinacional de Bolivia",,"","Eventos","#1E4D8A","balotaje|nuevo_gobierno|transicion_2025"
